Latitude,Longitude,Time,Albedo,Wind_Gust,Planetary_Boundary_Layer_Height,Pressure,R_H_L103,U_GRD_L103,Vertical_motion,Visibility,Station Name,PM 2.5,AOD,Precipitation_Rate,Sine_of_Month,Cosine_of_Month,weekday,oct_feb,march_may,june_sep,nov_feb,june_aug,sep_oct,nov_march,april_may
22.51100000000032,88.35100000000168,2023-04-06,12.48085005953603,4.340655483245754,870.7885427218005,100779.8276250001,40.80945019536399,1.177220788954927,0.3892797651267838,24135.0,Rabindra Sarobar,31.01916666666667,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-07,14.74298018646421,4.130560457223382,878.7316994601213,100917.4999687501,38.41705056765496,0.9963440086838192,-0.2744831905361036,24134.951171875,Rabindra Sarobar,30.74863636363636,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-08,14.74545968628173,4.296333370206705,884.04525756576,101035.7070000001,36.48204980471633,1.189899871346069,0.1187105855916129,24135.015625,Rabindra Sarobar,31.58458333333333,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-09,14.67463999176373,5.247498580928045,873.8727744127096,100949.5514375,36.10890090943511,2.378186347960262,0.7512163991839632,24135.13671875,Rabindra Sarobar,32.28708333333334,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-10,14.35224016571911,4.227085782995297,1025.359835689335,100766.2447187502,38.87294816592398,1.392928502082883,1.718672071932243,24135.0390625,Rabindra Sarobar,37.43041666666667,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-11,15.16827994537755,3.601136137957768,1104.317048580181,100764.5453750001,32.73820163732245,1.209166443347897,0.4281291336966357,24135.00390625,Rabindra Sarobar,40.015,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-12,15.47202988434176,5.726968523021395,1030.562341306007,100658.6495000001,29.85979967502266,2.043837217331237,0.0765563070773057,24135.109375,Rabindra Sarobar,33.85375,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-13,15.44504010010262,7.198861589426649,1150.043453366451,100542.4517812501,23.8229720535544,2.326145135879516,0.3628526575584834,24134.994140625,Rabindra Sarobar,32.79043478260869,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-14,15.33688016510407,4.736793850904171,955.7337644035122,100497.9818750001,32.6609589081169,1.589384105686329,0.941530181167587,24134.927734375,Rabindra Sarobar,34.09083333333333,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
22.51100000000032,88.35100000000168,2023-04-15,13.70238961410912,7.538600351332956,711.5141987304546,100498.9250312501,42.45774896243354,1.561520657066575,4.075400836945116,24135.173828125,Rabindra Sarobar,36.925,0.8103940844537387,0.0,0.8660254037844387,-0.4999999999999998,1,0,1,0,0,0,0,0,1
