Latitude,Longitude,Time,Albedo,Downward_Long-Wave_Rad_Flux,Downward_Short-Wave_Rad_Flux,Wind_Gust,Planetary_Boundary_Layer_Height,Latent_Heat_Flux,Pressure,R_H_L103,SHTFL_L1_Avg_1,TMP_L103,U_GRD_L103,ULWRF_L1_Avg_1,USWRF_L1_Avg_1,Vertical_motion,Visibility,Station Name,PM 2.5,AOD,Precipitation_Rate,Sine_of_Month,Cosine_of_Month
22.63000000000046,88.35200000000168,2021-01-01,5.98142002487589,312.5589999999882,204.3499999999977,3.826027381892972,301.9860180655116,30.05788778696436,101429.1668125,39.44169903568573,45.32285852042402,293.5617216796747,0.1773584564907036,421.2989311522781,24.68100000002206,-3.067932769776551,24135.001953125,Belur Math,77.65458333333333,0.5815496069430489,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-02,5.970039993290298,313.6835336913887,202.9600000000038,3.101587566373441,267.1446694328989,30.47110400400976,101373.7255,31.24639988712682,43.8035948485556,293.3571423339722,0.6415067238814509,422.3926315917262,24.65800000002374,-2.350823900223608,24135.046875,Belur Math,58.12473684210526,0.4251392932711843,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-03,5.937660156254022,322.8038129882672,195.740000000029,2.774222782132668,262.2264169917432,28.7232340088861,101257.671,35.06159971623811,43.05526943966832,293.9912453613152,-0.1160585193675965,425.3391989745375,23.57400000002365,-2.127139699935941,24135.080078125,Belur Math,,0.6658412005707217,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-04,5.914199970249562,333.2269999999847,202.5,2.18417778587444,245.0172542724857,29.53170016489318,101243.4570625001,41.38730090336993,48.72323297118184,295.2974733886597,-0.4066425589361537,432.3301608886004,24.27400000002481,-1.479324503899452,24134.9140625,Belur Math,76.66777777777777,0.4157290516074883,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-05,5.895780025486445,342.8969999999793,200.549999999993,2.317436281204264,244.0120996094074,30.00922119150581,101231.065125,41.93900000003787,48.85332855223983,296.7914484863167,-0.2997766534139352,439.3007573241461,24.09300000002351,-0.9098570237179764,24134.94921875,Belur Math,92.68458333333332,0.3849680269198082,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-06,5.862259963993584,355.1719999999816,198.7740000000153,2.081998067857198,263.9806136476062,28.88809921274535,101035.0963125,39.21760107424262,45.12627758790462,297.6690385742086,1.169064743997442,452.0334453124385,23.77400000002481,-0.2658026232710684,24134.955078125,Belur Math,132.424347826087,0.3722088030021314,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-07,5.829580188755568,366.1699999999814,197.5,2.067491838452272,348.6334582520386,31.48901782236749,100946.4783750001,38.88120141604074,48.49922409056484,298.6336511230368,0.7654193172438978,457.0720852050261,23.39900000002481,-1.202971753121365,24135.06640625,Belur Math,158.1633333333333,0.749404464868412,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-08,5.841540019993426,358.26333056638,200.0,3.372566404341816,353.0311110823949,32.83207200632914,101010.7190625,39.01689852908657,52.19221383662821,297.6919777831906,-0.6440025672919942,450.0091787108656,23.58900000002505,-2.752123477937736,24135.041015625,Belur Math,118.6195652173913,0.5077142562290567,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-09,5.836720191960032,359.4817998046572,199.3499999999977,2.918201532364274,378.1951381822487,31.03625961313963,101050.11825,39.76540084841237,50.84299670406134,297.6526291503807,1.440957159997765,451.9443676757102,23.64400000002435,-1.446471078872159,24135.017578125,Belur Math,83.37666666666667,0.7537424089124689,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-10,5.784359718327192,376.1521000976306,190.2700000000052,3.016139207838296,364.6526887187114,31.43042079172702,101014.0808125,42.58530059816964,56.10856582635483,298.2417607421769,0.9116605157842383,455.9196887206481,22.66200000002594,-1.702248360634616,24135.025390625,Belur Math,101.6341666666667,0.583081162663469,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-11,5.849799766545083,368.4372805175829,203.0100000000084,3.633494926448765,495.9203103006794,32.04558782969198,101080.8614375001,46.0121998596498,59.63640426631084,298.525293212882,0.660752063278203,454.959085205031,24.11700000002757,-2.28476193046645,24134.87890625,Belur Math,100.5608333333333,0.7260728836069062,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-12,5.903500041966221,342.3040039062246,207.5,3.022393692010183,336.2409252908769,31.20584602366214,101186.7083125,44.88850231937533,59.63792199697102,295.4675905761592,0.9616263856883104,440.2169387206287,24.87600000002649,-2.282981523511939,24135.017578125,Belur Math,75.88478260869564,0.7879800438874001,0.0,0.4999999999999999,0.8660254037844387
22.63000000000046,88.35200000000168,2021-01-13,5.900379970555183,330.8829584960697,208.0999999999977,3.364721937175129,284.1211733393478,28.5686270600274,101211.2829375,46.02320022587426,63.79429952989444,293.0280737304573,0.3037933187492855,429.4451813964096,25.01500000002589,-2.084541610717332,24134.91796875,Belur Math,93.69083333333332,0.7312486052503107,0.0,0.4999999999999999,0.8660254037844387
