Latitude,Longitude,Time,Albedo,Downward_Long-Wave_Rad_Flux,Downward_Short-Wave_Rad_Flux,Wind_Gust,Planetary_Boundary_Layer_Height,Latent_Heat_Flux,Pressure,R_H_L103,SHTFL_L1_Avg_1,TMP_L103,U_GRD_L103,ULWRF_L1_Avg_1,USWRF_L1_Avg_1,Vertical_motion,Visibility,Station Name,PM 2.5,AOD,Precipitation_Rate,Sine_of_Month,Cosine_of_Month,weekday,oct_feb,march_may,june_sep,nov_feb,june_aug,sep_oct,nov_march,april_may
22.63000000000046,88.35200000000168,2022-11-30,7.386773662568912,370.5871262206925,221.0635874023392,3.580717844004158,342.2473208002185,57.24771560691178,101172.7026875,44.426399353057,48.67753649887561,297.0784218749914,0.5590137386330682,454.1548271483869,25.35943200685112,-3.017877223969821,24135.005859375,Belur Math,77.79666666666667,0.340200000008289,0.0,-0.5000000000000004,0.8660254037844384,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-01,5.758600147249235,344.4595009765438,203.8266798095705,4.726225078575974,385.233757323667,51.26156552144028,101122.6735,43.84330014042199,36.36239526350435,296.5918095703022,0.2674486232991486,441.9255090331366,23.92321626283198,-3.496314807893282,24134.984375,Belur Math,79.77347826086957,0.3376000000091828,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-02,5.846279769899359,323.3967854003797,208.832861938473,3.650794155113313,330.1699663080448,48.61499038715105,101132.0431875,36.1827989502311,34.68110906966555,295.5526669921765,0.4818898904326297,432.0752431639908,24.87720043946804,-3.187829061510712,24135.0546875,Belur Math,95.23291666666668,0.6426000000081111,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-03,5.872259761812479,313.2206354980129,209.5051181640676,3.378227901453957,292.2948000483609,48.35705081195859,101171.169625,31.44090008547765,31.14263397200438,294.9486982421758,0.5000281412609202,426.0970319823401,25.06220738221896,-2.962006593706999,24135.0078125,Belur Math,107.0054545454545,0.574832260613277,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-04,5.900799850466026,310.218880371084,210.8747943115199,3.92280709265993,285.9506603999717,49.19688395709666,101222.2278125,30.26419963078006,29.77048170454946,294.5873566894425,0.8086838746074856,423.6878671874245,25.34963131715454,-3.231958675386089,24135.0703125,Belur Math,104.3170833333333,0.6175999999813877,0.0,-2.4492935982947064e-16,1.0,0,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-05,5.912379920961623,312.5824101562614,209.9726127929597,3.854051328651028,298.5684082027058,46.70896310442771,101269.753125,32.62680056767552,30.65654388413206,294.5022758788971,0.926647755144724,424.9306127929054,25.25140814210506,-3.183304801942624,24134.796875,Belur Math,101.6126086956522,0.7463000000132981,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-06,5.8703799476647,318.7940532226519,206.4794426269492,4.384464523307221,360.2036335443431,43.38676022356407,101134.03775,38.31069949344487,36.43731884750694,294.2705034179597,0.8644319453238669,425.8181181640009,24.68268786622716,-3.444719289781816,24135.1796875,Belur Math,90.19083333333332,0.7461999999949395,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-07,5.770600105287818,315.3045466308598,192.5625828857568,3.709223224632871,326.515521483949,39.94444633500166,101128.465375,34.24219926456865,31.69425891099876,293.7564631347566,0.540018105505028,421.5374946288464,22.70139193727404,-3.075384744645342,24134.908203125,Belur Math,103.8321739130435,0.8942978601881048,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-08,5.819019935610513,324.5474755859518,191.40439819332,2.566221309658526,272.9915676267121,38.05705052200239,101189.7684375,39.66609951787289,36.42179766832885,293.819422363272,0.3243276946534884,423.3945561522849,22.67894425965336,-2.424339221955837,24135.0234375,Belur Math,99.60625,0.4624002516280192,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-09,5.804759788515659,330.0227336425727,200.2110208740245,2.787664285655929,311.6150617672746,36.47242472854043,101129.0995,46.65009954839006,42.76661441030048,294.8307915038974,-0.2244656909435496,428.4862390136144,23.65999923707791,-2.608586265565345,24135.07421875,Belur Math,105.7504166666667,0.7538000000058285,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-10,5.720340042117354,343.7717192382528,187.8967384033271,2.895148740763713,308.212861327708,35.48560723891555,101129.751375,43.87709948735148,40.00704394522516,295.5855305175697,0.0188667095289311,433.7649567870488,21.94721624757788,-2.665398221971443,24135.134765625,Belur Math,101.8716666666667,0.3760096848012096,0.0,-2.4492935982947064e-16,1.0,1,1,0,0,1,0,0,1,0
22.63000000000046,88.35200000000168,2022-12-11,5.808120056155204,335.5360861816343,198.3200975341764,2.702526224134497,291.4206987302746,36.39669087234174,101147.446625,39.0347993469645,39.14735345450439,296.0652001953031,0.1411566383824595,435.4910732421307,23.45758343507588,-2.468845554354549,24135.15234375,Belur Math,115.1708333333333,0.6623000000021918,0.0,-2.4492935982947064e-16,1.0,0,1,0,0,1,0,0,1,0
